Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
commons-lang,lcom.testsubject,AllDisconnected,3.0,0.0,6.0,6.0,1.5,1.0
commons-lang,org.apache.commons.lang3,SystemProperties,19701.0,0.0,199.0,3.0,0.9999198332531666,0.01507537688442211
commons-lang,org.apache.commons.lang3,CharSetUtils,28.0,0.0,8.0,2.0,0.0,0.25
commons-lang,org.apache.commons.lang3,Range,192.0,6.0,6.0,2.0,0.7716049382716049,0.07142857142857142
commons-lang,org.apache.commons.lang3,StringEscapeUtils,171.0,0.0,19.0,19.0,1.0046296296296295,0.9473684210526315
commons-lang,org.apache.commons.lang3,CsvEscaper,0.0,0.0,1.0,1.0,0.0,0.0
commons-lang,org.apache.commons.lang3,CsvUnescaper,0.0,0.0,1.0,1.0,0.0,0.0
commons-lang,org.apache.commons.lang3,SystemUtils,253.0,0.0,23.0,18.0,1.0425454545454544,0.7391304347826086
commons-lang,org.apache.commons.lang3,RandomUtils,370.0,334.0,21.0,5.0,0.9523809523809524,0.1724137931034483
commons-lang,org.apache.commons.lang3,ClassLoaderUtils,15.0,0.0,6.0,4.0,1.0,0.6666666666666666
commons-lang,org.apache.commons.lang3,Validate,1431.0,0.0,54.0,54.0,0.9962264150943396,0.9259259259259259
commons-lang,org.apache.commons.lang3,AnnotationUtils,66.0,0.0,12.0,5.0,1.0454545454545454,0.4166666666666667
commons-lang,org.apache.commons.lang3,RuntimeEnvironment,10.0,0.0,5.0,2.0,0.0,0.4
commons-lang,org.apache.commons.lang3,Conversion,903.0,0.0,43.0,30.0,0.9761904761904762,0.6744186046511628
commons-lang,org.apache.commons.lang3,Streams,163.0,95.0,9.0,9.0,0.8452380952380952,0.4090909090909091
commons-lang,org.apache.commons.lang3,ArrayCollector,14.0,13.0,5.0,5.0,0.9,0.8333333333333334
commons-lang,org.apache.commons.lang3,FailableStream,20.0,0.0,2.0,1.0,0.5454545454545454,0.0
commons-lang,org.apache.commons.lang3,IntegerRange,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
commons-lang,org.apache.commons.lang3,RegExUtils,210.0,0.0,21.0,4.0,0.0,0.19047619047619047
commons-lang,org.apache.commons.lang3,ArrayFill,36.0,0.0,9.0,9.0,0.0,1.0
commons-lang,org.apache.commons.lang3,CachedRandomBits,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,LongRange,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
commons-lang,org.apache.commons.lang3,LocaleUtils,120.0,0.0,16.0,9.0,0.9809523809523809,0.5625
commons-lang,org.apache.commons.lang3,SyncAvoid,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,NotImplementedException,18.0,8.0,4.0,4.0,0.7857142857142857,0.5
commons-lang,org.apache.commons.lang3,DoubleRange,3.0,0.0,3.0,3.0,1.5,1.0
commons-lang,org.apache.commons.lang3,ClassPathUtils,21.0,0.0,7.0,6.0,0.0,0.8571428571428571
commons-lang,org.apache.commons.lang3,ObjectUtils,1378.0,0.0,53.0,39.0,0.9807692307692307,0.7358490566037735
commons-lang,org.apache.commons.lang3,Null,1.0,0.0,2.0,2.0,2.0,1.0
commons-lang,org.apache.commons.lang3,StringUtils,29161.0,0.0,242.0,127.0,0.9610995850622407,0.3884297520661157
commons-lang,org.apache.commons.lang3,SerializationUtils,35.0,34.0,8.0,4.0,0.875,0.4444444444444444
commons-lang,org.apache.commons.lang3,ClassLoaderAwareObjectInputStream,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,CharSequenceUtils,36.0,0.0,9.0,8.0,0.875,0.6666666666666666
commons-lang,org.apache.commons.lang3,RandomStringUtils,885.0,780.0,31.0,4.0,0.9681818181818183,0.08888888888888889
commons-lang,org.apache.commons.lang3,BooleanUtils,1081.0,0.0,47.0,38.0,0.9037267080745341,0.48936170212765956
commons-lang,org.apache.commons.lang3,EnumUtils,231.0,0.0,22.0,22.0,0.9880952380952381,0.9545454545454546
commons-lang,org.apache.commons.lang3,AppendableJoiner,54.0,0.0,8.0,7.0,0.7058823529411765,0.16666666666666666
commons-lang,org.apache.commons.lang3,Builder,11.0,7.0,2.0,2.0,0.8,0.3333333333333333
commons-lang,org.apache.commons.lang3,SerializationException,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
commons-lang,org.apache.commons.lang3,ArraySorter,45.0,0.0,10.0,10.0,0.0,1.0
commons-lang,org.apache.commons.lang3,Charsets,3.0,0.0,3.0,3.0,0.0,1.0
commons-lang,org.apache.commons.lang3,Functions,561.0,0.0,34.0,29.0,0.0,0.8529411764705882
commons-lang,org.apache.commons.lang3,FailableBiConsumer,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailableBiFunction,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailableBiPredicate,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailableCallable,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailableConsumer,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailableFunction,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailablePredicate,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailableRunnable,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,FailableSupplier,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,CharRange,94.0,17.0,5.0,5.0,0.8024691358024691,0.2631578947368421
commons-lang,org.apache.commons.lang3,CharacterIterator,4.0,0.0,2.0,2.0,0.5,0.4
commons-lang,org.apache.commons.lang3,BitField,130.0,107.0,11.0,1.0,0.7647058823529411,0.0
commons-lang,org.apache.commons.lang3,Strings,1000.0,965.0,38.0,22.0,0.9740740740740741,0.43478260869565216
commons-lang,org.apache.commons.lang3,Builder,4.0,2.0,2.0,2.0,0.6666666666666666,0.5
commons-lang,org.apache.commons.lang3,CiStrings,21.0,0.0,7.0,7.0,0.0,1.0
commons-lang,org.apache.commons.lang3,CsStrings,21.0,0.0,7.0,7.0,0.0,1.0
commons-lang,org.apache.commons.lang3,CharSet,7.0,0.0,2.0,2.0,1.0,0.25
commons-lang,org.apache.commons.lang3,ThreadUtils,579.0,563.0,28.0,10.0,0.9411764705882353,0.2857142857142857
commons-lang,org.apache.commons.lang3,AlwaysTruePredicate,3.0,0.0,3.0,3.0,0.0,1.0
commons-lang,org.apache.commons.lang3,NamePredicate,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,ThreadGroupPredicate,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,ThreadIdPredicate,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,ThreadPredicate,0.0,0.0,1.0,1.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,CharEncoding,1.0,0.0,2.0,2.0,2.0,1.0
commons-lang,org.apache.commons.lang3,ArchUtils,105.0,0.0,15.0,5.0,0.9285714285714286,0.26666666666666666
commons-lang,org.apache.commons.lang3,CharUtils,276.0,0.0,24.0,17.0,1.0260869565217392,0.7083333333333334
commons-lang,org.apache.commons.lang3,NumberRange,0.0,0.0,1.0,1.0,0.0,0.0
commons-lang,org.apache.commons.lang3,ArrayUtils,70500.0,0.0,376.0,235.0,0.9915555555555555,0.45478723404255317
commons-lang,org.apache.commons.lang3,ClassUtils,2077.0,2074.0,63.0,33.0,0.9928977272727273,0.4461538461538462
commons-lang,org.apache.commons.lang3,StringUtilsEmptyBlankTest,66.0,0.0,12.0,12.0,0.0,1.0
commons-lang,org.apache.commons.lang3,LongRangeTest,145.0,0.0,6.0,3.0,0.75,0.09375
commons-lang,org.apache.commons.lang3,CharSetTest,105.0,0.0,15.0,15.0,0.0,1.0
commons-lang,org.apache.commons.lang3,ArrayUtilsTest,62128.0,0.0,353.0,352.0,0.9772727272727273,0.9745042492917847
commons-lang,org.apache.commons.lang3,TestClass,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,LANG1261ParentObject,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,LANG1261ChildObject,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,ConversionTest,990.0,0.0,45.0,45.0,0.0,1.0
commons-lang,org.apache.commons.lang3,RandomUtilsTest,1770.0,0.0,60.0,60.0,0.9491525423728814,0.95
commons-lang,org.apache.commons.lang3,ValidateTest,22791.0,0.0,214.0,214.0,0.9577464788732394,0.7242990654205608
commons-lang,org.apache.commons.lang3,ExclusiveBetween,435.0,0.0,30.0,30.0,0.6896551724137931,0.0
commons-lang,org.apache.commons.lang3,WithComparable,45.0,0.0,10.0,10.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithDouble,45.0,0.0,10.0,10.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithLong,45.0,0.0,10.0,10.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,Finite,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,InclusiveBetween,435.0,0.0,30.0,30.0,0.6896551724137931,0.0
commons-lang,org.apache.commons.lang3,WithComparable,45.0,0.0,10.0,10.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithDouble,45.0,0.0,10.0,10.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithLong,45.0,0.0,10.0,10.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,IsAssignable,21.0,0.0,7.0,7.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,IsInstanceOf,15.0,0.0,6.0,6.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessageTemplate,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,IsTrue,78.0,0.0,13.0,13.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithDoubleTemplate,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithLongTemplate,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,3.0,0.0,3.0,3.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithObjectTemplate,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessageSupplier,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,MatchesPattern,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,NoNullElements,120.0,0.0,16.0,16.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithArray,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithCollection,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,NotBlank,120.0,0.0,16.0,16.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,NotEmpty,496.0,0.0,32.0,32.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithArray,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithCharSequence,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithCollection,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMap,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,NotNaN,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,NotNull,15.0,0.0,6.0,6.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,3.0,0.0,3.0,3.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,3.0,0.0,3.0,3.0,0.0,1.0
commons-lang,org.apache.commons.lang3,UtilClassConventions,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,ValidIndex,435.0,0.0,30.0,30.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithArray,45.0,0.0,10.0,10.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithCharSequence,45.0,0.0,10.0,10.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithCollection,45.0,0.0,10.0,10.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,10.0,0.0,5.0,5.0,0.0,1.0
commons-lang,org.apache.commons.lang3,ValidState,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WithoutMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,WitMessage,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,RangeTest,200.0,0.0,8.0,8.0,0.8128078817733989,0.26666666666666666
commons-lang,org.apache.commons.lang3,AbstractComparable,0.0,0.0,1.0,1.0,0.0,0.0
commons-lang,org.apache.commons.lang3,DerivedComparableA,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,DerivedComparableB,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,AbstractLangTest,0.0,0.0,1.0,1.0,0.0,0.0
commons-lang,org.apache.commons.lang3,ObjectToStringRuntimeException,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,CharRangeTest,136.0,0.0,17.0,17.0,0.0,1.0
commons-lang,org.apache.commons.lang3,StringUtilsIsTest,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,DoubleRangeTest,135.0,0.0,6.0,3.0,0.75,0.1
commons-lang,org.apache.commons.lang3,FunctionsTest,4679.0,4408.0,71.0,71.0,0.9431818181818182,0.63
commons-lang,org.apache.commons.lang3,CloseableObject,3.0,0.0,2.0,2.0,0.3333333333333333,0.5
commons-lang,org.apache.commons.lang3,FailureOnOddInvocations,21.0,0.0,7.0,1.0,1.0,0.0
commons-lang,org.apache.commons.lang3,SomeException,2.0,1.0,2.0,2.0,1.0,0.6666666666666666
commons-lang,org.apache.commons.lang3,Testable,57.0,0.0,1.0,1.0,0.65625,0.0
commons-lang,org.apache.commons.lang3,BooleanUtilsTest,4005.0,0.0,90.0,90.0,0.0,1.0
commons-lang,org.apache.commons.lang3,BitFieldTest,105.0,0.0,15.0,15.0,0.07142857142857142,0.13333333333333333
commons-lang,org.apache.commons.lang3,ArraySorterTest,36.0,0.0,9.0,9.0,0.0,1.0
commons-lang,org.apache.commons.lang3,JavaVersionTest,3.0,0.0,3.0,3.0,0.0,1.0
commons-lang,org.apache.commons.lang3,ArrayUtilsRemoveTest,666.0,0.0,37.0,37.0,0.0,1.0
commons-lang,org.apache.commons.lang3,CharSequenceUtilsTest,302.0,253.0,13.0,10.0,0.8115384615384615,0.37037037037037035
commons-lang,org.apache.commons.lang3,RunTest,1.0,0.0,2.0,1.0,0.0,0.0
commons-lang,org.apache.commons.lang3,TestData,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,WrapperString,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,HashSetvBitSetTest,15.0,0.0,6.0,3.0,0.8,0.5
commons-lang,org.apache.commons.lang3,StringUtilsStartsEndsWithTest,15.0,0.0,6.0,6.0,0.4,0.5
commons-lang,org.apache.commons.lang3,ArrayUtilsInsertTest,36.0,0.0,9.0,9.0,0.0,1.0
commons-lang,org.apache.commons.lang3,ArchUtilsTest,45.0,0.0,10.0,10.0,0.7777777777777778,0.7
commons-lang,org.apache.commons.lang3,StringUtilsValueOfTest,3.0,0.0,3.0,3.0,0.0,1.0
commons-lang,org.apache.commons.lang3,StringUtilsEqualsIndexOfTest,954.0,918.0,37.0,37.0,0.8954545454545454,0.6666666666666666
commons-lang,org.apache.commons.lang3,CustomCharSequence,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,CharUtilsTest,276.0,0.0,24.0,24.0,0.8260869565217391,0.5416666666666666
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,34.0,13.0,9.0,9.0,0.9444444444444444,0.45454545454545453
commons-lang,org.apache.commons.lang3,None,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,ArrayUtilsRemoveMultipleTest,1485.0,0.0,55.0,55.0,0.8518518518518519,0.8545454545454545
commons-lang,org.apache.commons.lang3,Supplementary,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,ArrayFillTest,120.0,0.0,16.0,16.0,0.0,1.0
commons-lang,org.apache.commons.lang3,StringUtilsIsMixedCaseTest,36.0,0.0,9.0,5.0,0.875,0.0
commons-lang,org.apache.commons.lang3,RegExUtilsTest,171.0,0.0,19.0,19.0,0.0,1.0
commons-lang,org.apache.commons.lang3,RuntimeEnvironmentTest,3.0,3.0,3.0,2.0,1.0,0.6666666666666666
commons-lang,org.apache.commons.lang3,CharSetUtilsTest,55.0,0.0,11.0,11.0,0.0,1.0
commons-lang,org.apache.commons.lang3,ArrayUtilsSetTest,1.0,0.0,2.0,2.0,0.0,1.0
commons-lang,org.apache.commons.lang3,ArrayUtilsAddTest,231.0,0.0,22.0,22.0,0.0,1.0
commons-lang,org.apache.commons.lang3,AppendableJoinerTest,35.0,34.0,8.0,8.0,0.875,0.8888888888888888
commons-lang,org.apache.commons.lang3,Fixture,0.0,0.0,1.0,1.0,-0.0,0.0
commons-lang,org.apache.commons.lang3,ThreadUtilsTest,629.0,628.0,35.0,35.0,0.9714285714285714,0.9722222222222222
commons-lang,org.apache.commons.lang3,TestThread,5.0,4.0,3.0,3.0,0.6666666666666666,0.75
commons-lang,org.apache.commons.lang3,ClassLoaderUtilsTest,6.0,0.0,4.0,4.0,0.0,1.0
commons-lang,org.apache.commons.lang3,StringUtilsContainsTest,253.0,0.0,23.0,23.0,0.0,1.0
commons-lang,org.apache.commons.lang3,CharEncodingTest,15.0,0.0,6.0,5.0,0.0,0.8333333333333334
commons-lang,org.apache.commons.lang3,ClassNotFoundSerialization,0.0,0.0,1.0,1.0,0.0,0.0
commons-lang,org.apache.commons.lang3,SerializableSupplier,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,SerializationUtilsTest,369.0,303.0,19.0,19.0,0.8758620689655172,0.6
commons-lang,org.apache.commons.lang3,StringUtilsTest,13530.0,0.0,165.0,161.0,0.9871456822676336,0.7575757575757576
commons-lang,org.apache.commons.lang3,SystemUtilsTest,325.0,0.0,26.0,24.0,0.0,0.9230769230769231
commons-lang,org.apache.commons.lang3,RandomStringUtilsTest,780.0,0.0,40.0,39.0,0.6923076923076923,0.675
commons-lang,org.apache.commons.lang3,SystemPropertiesTest,1275.0,0.0,51.0,47.0,0.0,0.9215686274509803
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,351.0,0.0,27.0,11.0,0.901098901098901,0.3333333333333333
commons-lang,org.apache.commons.lang3,StringEscapeUtilsTest,703.0,0.0,38.0,32.0,0.9864864864864865,0.8157894736842105
commons-lang,org.apache.commons.lang3,StringsTest,28.0,0.0,8.0,8.0,0.0,1.0
commons-lang,org.apache.commons.lang3,CharUtilsPerfRun,21.0,0.0,7.0,1.0,0.8888888888888888,0.0
commons-lang,org.apache.commons.lang3,StringUtilsTrimStripTest,120.0,0.0,16.0,16.0,0.8,0.8125
commons-lang,org.apache.commons.lang3,StringUtilsSubstringTest,136.0,0.0,17.0,17.0,0.925,0.7647058823529411
commons-lang,org.apache.commons.lang3,ClassUtilsTest,2415.0,0.0,70.0,64.0,0.9565217391304348,0.8714285714285714
commons-lang,org.apache.commons.lang3,CX,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,CY,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,IA,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,IB,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,IC,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,ID,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,IE,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,IF,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Inner,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,DeeplyNested,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,Named,0.0,0.0,0.0,0.0,0.0,-1.0
commons-lang,org.apache.commons.lang3,CachedRandomBitsTest,2.0,1.0,2.0,2.0,0.8333333333333334,0.6666666666666666
commons-lang,org.apache.commons.lang3,MockRandom,0.0,0.0,1.0,1.0,0.6666666666666667,0.0
commons-lang,org.apache.commons.lang3,EnumUtilsTest,1128.0,0.0,48.0,48.0,0.0,1.0
commons-lang,org.apache.commons.lang3,IntegerRangeTest,140.0,0.0,6.0,3.0,0.75,0.0967741935483871
